2021-10-16 16:45:01+00:00,delete,151.216.5.0/24,3970,24
2021-10-17 02:05:48+00:00,create,151.216.5.0/24,3970,24
2021-10-17 05:37:56+00:00,create,2001:7fc:3::/48,3970,48
2021-10-17 15:20:22+00:00,delete,151.216.5.0/24,3970,24
2021-10-17 17:09:07+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-18 05:17:50+00:00,create,151.216.5.0/24,3970,24
2021-10-18 05:37:55+00:00,create,2001:7fc:3::/48,3970,48
2021-10-18 12:34:13+00:00,delete,151.216.5.0/24,3970,24
2021-10-18 12:36:37+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-19 00:51:47+00:00,create,151.216.5.0/24,3970,24
2021-10-19 05:34:15+00:00,create,2001:7fc:3::/48,3970,48
2021-10-19 14:34:20+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-19 17:27:23+00:00,delete,151.216.5.0/24,3970,24
2021-10-20 00:28:31+00:00,create,151.216.5.0/24,3970,24
2021-10-20 03:05:06+00:00,create,2001:7fc:3::/48,3970,48
2021-10-20 15:48:44+00:00,delete,151.216.5.0/24,3970,24
2021-10-20 16:52:26+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-21 02:10:54+00:00,create,151.216.5.0/24,3970,24
2021-10-21 03:38:13+00:00,create,2001:7fc:3::/48,3970,48
2021-10-21 13:35:59+00:00,delete,151.216.5.0/24,3970,24
2021-10-21 16:03:39+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-22 02:54:51+00:00,create,151.216.5.0/24,3970,24
2021-10-22 05:17:26+00:00,create,2001:7fc:3::/48,3970,48
2021-10-22 14:33:12+00:00,delete,151.216.5.0/24,3970,24
2021-10-22 15:54:19+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-23 02:43:04+00:00,create,151.216.5.0/24,3970,24
2021-10-23 03:11:06+00:00,create,2001:7fc:3::/48,3970,48
2021-10-23 16:03:00+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-23 16:32:13+00:00,delete,151.216.5.0/24,3970,24
2021-10-24 00:21:11+00:00,create,2001:7fc:3::/48,3970,48
2021-10-24 03:21:25+00:00,create,151.216.5.0/24,3970,24
2021-10-24 14:25:38+00:00,delete,151.216.5.0/24,3970,24
2021-10-24 14:27:44+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-25 03:52:23+00:00,create,151.216.5.0/24,3970,24
2021-10-25 04:49:21+00:00,create,2001:7fc:3::/48,3970,48
2021-10-25 12:14:19+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-25 14:24:57+00:00,delete,151.216.5.0/24,3970,24
2021-10-26 02:18:00+00:00,create,151.216.5.0/24,3970,24
2021-10-26 04:11:17+00:00,create,2001:7fc:3::/48,3970,48
2021-10-26 14:08:45+00:00,delete,151.216.5.0/24,3970,24
2021-10-26 14:47:39+00:00,delete,2001:7fc:3::/48,3970,48
2021-10-27 00:03:36+00:00,create,2001:7fc:3::/48,3970,48
2021-10-27 00:47:39+00:00,create,151.216.5.0/24,3970,24
2021-10-27 14:37:47+00:00,delete,151.216.5.0/24,3970,24
2021-10-27 16:21:42+00:00,delete,2001:7fc:3::/48,3970,48
