2021-08-20 08:25:48+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-20 08:34:02+00:00,create,2001:DF7:5380::/47,3130,47
2021-08-20 14:11:21+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-21 00:59:23+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-21 04:01:02+00:00,create,103.171.219.0/24,3970,24
2021-08-21 17:19:57+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-22 01:38:17+00:00,create,103.171.219.0/24,3970,24
2021-08-22 02:16:44+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-22 13:40:18+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-23 02:46:14+00:00,create,103.171.219.0/24,3970,24
2021-08-23 04:55:37+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-23 16:07:45+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-24 00:50:12+00:00,create,103.171.219.0/24,3970,24
2021-08-24 03:37:54+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-24 12:52:10+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-25 01:36:27+00:00,create,103.171.219.0/24,3970,24
2021-08-25 03:31:43+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-25 17:53:52+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-26 00:07:18+00:00,create,103.171.219.0/24,3970,24
2021-08-26 02:10:07+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-26 14:40:39+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-27 00:57:23+00:00,create,103.171.219.0/24,3970,24
2021-08-27 05:14:57+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-27 14:52:23+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-28 02:15:51+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-28 02:58:14+00:00,create,103.171.219.0/24,3970,24
2021-08-28 16:56:29+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-29 05:48:11+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-29 05:50:59+00:00,create,103.171.219.0/24,3970,24
2021-08-29 12:07:56+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-30 03:03:50+00:00,create,2001:DF7:5381::/48,3970,48
2021-08-30 04:01:00+00:00,create,103.171.219.0/24,3970,24
2021-08-30 12:15:56+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-30 14:26:45+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-08-31 01:36:51+00:00,create,2001:df7:5381::/48,3970,48
2021-08-31 04:22:37+00:00,create,103.171.219.0/24,3970,24
2021-08-31 15:41:11+00:00,delete,103.171.219.0/24,AS3970,0
2021-08-31 16:39:06+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-01 03:23:26+00:00,create,2001:df7:5381::/48,3970,48
2021-09-01 05:05:22+00:00,create,103.171.219.0/24,3970,24
2021-09-01 15:22:13+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-01 16:59:15+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-02 00:00:20+00:00,create,103.171.219.0/24,3970,24
2021-09-02 04:48:06+00:00,create,2001:df7:5381::/48,3970,48
2021-09-02 16:54:45+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-03 00:34:21+00:00,create,2001:df7:5381::/48,3970,48
2021-09-03 01:27:09+00:00,create,103.171.219.0/24,3970,24
2021-09-03 14:20:36+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-03 16:54:50+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-04 02:58:27+00:00,create,103.171.219.0/24,3970,24
2021-09-04 03:48:02+00:00,create,2001:df7:5381::/48,3970,48
2021-09-04 15:51:49+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-04 15:53:15+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-05 02:28:50+00:00,create,103.171.219.0/24,3970,24
2021-09-05 02:51:04+00:00,create,2001:df7:5381::/48,3970,48
2021-09-05 12:31:28+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-05 13:59:37+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-06 01:32:57+00:00,create,103.171.219.0/24,3970,24
2021-09-06 02:28:36+00:00,create,2001:df7:5381::/48,3970,48
2021-09-06 12:16:00+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-06 16:44:28+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-07 00:13:47+00:00,create,103.171.219.0/24,3970,24
2021-09-07 00:28:21+00:00,create,2001:df7:5381::/48,3970,48
2021-09-07 12:34:44+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-07 16:31:38+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-08 01:25:40+00:00,create,2001:df7:5381::/48,3970,48
2021-09-08 02:50:49+00:00,create,103.171.219.0/24,3970,24
2021-09-08 12:33:48+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-08 15:52:16+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-09 01:15:59+00:00,create,2001:df7:5381::/48,3970,48
2021-09-09 01:18:21+00:00,create,103.171.219.0/24,3970,24
2021-09-09 12:42:02+00:00,delete,103.171.219.0/24,AS3970,0
2021-09-09 14:35:13+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-10 00:48:17+00:00,create,2001:df7:5381::/48,3970,48
2021-09-10 02:28:17+00:00,create,103.171.219.0/24,3970,24
2021-09-10 14:07:18+00:00,delete,2001:df7:5381::/48,AS3970,0
2021-09-11 04:20:14+00:00,create,103.171.219.0/24,3970,24
